decision_day,hold_days,symbol_count,coverage_top_count,mean_objective_percentile,min_objective_percentile,max_objective_percentile,std_objective_percentile,mean_asset_robust_score,min_asset_robust_score,mean_local_top_ratio,min_local_top_ratio,mean_local_stability,min_local_stability,mean_sharpe,min_sharpe,mean_cum_return,min_cum_return,mean_max_drawdown,worst_max_drawdown,universal_robust_score
-5,11,4,4,0.9877232142857143,0.9794642857142857,0.9955357142857143,0.007693610687327752,0.9443626933422553,0.9116200383496991,0.861111111111111,0.7777777777777778,0.9608387643303241,0.942772810796114,0.9215836374901698,0.7005174283386544,3.016955963084009,1.464360191438748,-0.235917981630361,-0.3240241891148985,1.0312409927783364
-6,12,4,4,0.9727678571428571,0.9651785714285714,0.9776785714285714,0.005381887297626481,0.9365927563865899,0.9120823814108792,0.8611111111111112,0.7777777777777778,0.9593774724091402,0.9405186990410498,0.8452317994383933,0.6824282106799887,2.7294559577982747,1.3824756552535624,-0.24961873250797265,-0.3357287640267531,1.0207074203818385
-5,13,4,4,0.9743303571428572,0.9544642857142858,0.9901785714285715,0.018157811024197657,0.9368290127386601,0.90123733576327,0.8611111111111112,0.7777777777777778,0.9566525041694911,0.9469786842804243,0.8562661502251692,0.6595136067816819,3.1743562664523637,1.4556566619755502,-0.25634924592975883,-0.3240241891148983,1.0152976803523126
-6,11,4,4,0.9734375,0.9571428571428572,0.9875,0.014623517280499265,0.9344243708563129,0.8988302532999137,0.8611111111111112,0.7777777777777778,0.9468614376148978,0.9145879999615576,0.8695161082310361,0.6685354040090213,2.5695852686244254,1.4972287569209524,-0.28777110598149275,-0.4044274605429669,1.0151595210745852
24,14,4,4,0.9466517857142858,0.9285714285714286,0.9696428571428571,0.018099178181628563,0.9351720927820986,0.8927971699862923,0.8888888888888888,0.7777777777777778,0.975897666291445,0.9736476861652635,0.7856438531908108,0.5658269061401534,2.400338994920494,1.3343487930314866,-0.34311580395646724,-0.5011158063658379,0.9997027361409948
-6,15,4,4,0.9819196428571428,0.9651785714285714,0.9919642857142857,0.01252919634511412,0.9061122963294644,0.8723031611388905,0.75,0.6666666666666666,0.9507623745044651,0.937133851555011,0.8920872610324209,0.6628524917671121,3.7109782969271494,1.7836022944207013,-0.3435241355589889,-0.5306142887480398,0.9946248348844025
24,15,4,4,0.9660714285714286,0.9491071428571428,0.9955357142857143,0.021103687977661725,0.936865371539634,0.8703156382689057,0.861111111111111,0.6666666666666666,0.9774816196029321,0.9698817627730999,0.855446990244864,0.6139638717182457,2.786823974397603,1.5509706516920576,-0.3356942814072519,-0.4682063898696923,0.9906616465125198
-5,12,4,4,0.9419642857142857,0.9205357142857142,0.9696428571428571,0.020760928603089646,0.9128992118075876,0.8866391379694164,0.8333333333333333,0.7777777777777778,0.959585344752224,0.946283632282648,0.770076006476206,0.6005075205355274,2.364173254270745,1.1327803681551605,-0.2427993398030665,-0.3240241891148984,0.9900782360844642
-8,13,4,4,0.9712053571428572,0.95,0.9901785714285715,0.016598099816455113,0.9115647569300892,0.8671212418534407,0.7777777777777778,0.6666666666666666,0.9631437251266367,0.9532595942157129,0.8611651628231128,0.6871222249854368,2.70387548127112,1.658726281465499,-0.30756456750223865,-0.4437946479939074,0.9875239486895792
-6,13,4,4,0.9276785714285715,0.9125,0.94375,0.012814910798577975,0.9142252869663878,0.8812177494805901,0.8611111111111112,0.7777777777777778,0.9602633395938442,0.9492631533527186,0.7313110057831336,0.5366007234817602,2.1263713350177422,1.1732804539741353,-0.2949288700857555,-0.4186661513049786,0.9843538343371833
-8,14,4,4,0.9680803571428571,0.9446428571428571,0.9964285714285714,0.021704265682338214,0.9101351182203066,0.870760160398557,0.7777777777777778,0.6666666666666666,0.9638080315777232,0.9520150877070704,0.8692046800707917,0.6545991623114454,2.790281228714315,1.7578567593762244,-0.33280661591444716,-0.4886725866743268,0.983941209798775
-5,14,4,4,0.9685267857142857,0.9401785714285714,0.9955357142857143,0.02751366968540953,0.9078694432381998,0.8598332874632145,0.7777777777777778,0.6666666666666666,0.9513635852386184,0.9405465031687594,0.8420916194854395,0.5955592648684045,3.457792936653404,1.4820749145360064,-0.31206000206453827,-0.4492823834086146,0.9801018663743842
-6,14,4,4,0.9700892857142858,0.9321428571428572,0.99375,0.026471369786381423,0.9096111662022157,0.8576509189453242,0.7777777777777778,0.6666666666666666,0.9561659500586979,0.9419913405891718,0.8550794446286358,0.5826732038723127,3.2044433448199783,1.4403029227652646,-0.33541366369053566,-0.4839634930634376,0.9781239305766116
-5,10,4,4,0.9870535714285714,0.9732142857142857,0.9946428571428572,0.009902264737865537,0.9003389314543686,0.8378150790391113,0.7222222222222222,0.5555555555555556,0.9507273953670813,0.9227063475765088,0.9190924119155827,0.6913452312668202,2.8761540812900406,1.4079883522501233,-0.2376409209126865,-0.3240241891148985,0.9762935710350452
-5,16,4,4,0.9741071428571428,0.9339285714285714,1.0,0.030523006266824807,0.8907952705945648,0.8543009226271654,0.7222222222222222,0.6666666666666666,0.9353751624966331,0.9063648662877757,0.8575685120180576,0.6647653399414521,4.002304936305717,1.339536805323846,-0.3127197942142396,-0.4344289661485866,0.9745360538312131
-9,14,4,4,0.9553571428571428,0.9383928571428571,0.9714285714285714,0.016703827619526556,0.884654495533179,0.8555518078741247,0.7222222222222222,0.6666666666666666,0.9515462871897045,0.9317768965134806,0.812730368161059,0.6435542888023127,2.576805902807864,1.5434843476459186,-0.3097084889172099,-0.4792857982961839,0.9737121821917565
27,8,4,4,0.9828125,0.9723214285714286,1.0,0.012293684257335062,0.8736714852128387,0.8451079879398147,0.6388888888888888,0.5555555555555556,0.9529928427308603,0.9397547032558276,0.9206425028234726,0.6972774326680815,2.3380149526844125,1.0828987355330102,-0.23194766003685657,-0.3340115750868931,0.9708634461689608
-7,13,4,2,0.9107142857142857,0.8973214285714286,0.9401785714285714,0.020281815520715254,0.8973381217121233,0.8725957761328276,0.8333333333333334,0.7777777777777778,0.9599048942749026,0.9530086425688996,0.7135022423931393,0.5132080738011685,1.8772756741277274,1.0754232677798097,-0.2837438710095734,-0.4167331829741325,0.9707257245449357
24,13,4,4,0.9339285714285714,0.9223214285714286,0.9455357142857143,0.012897588500012148,0.9202473708980362,0.8558962304914994,0.861111111111111,0.6666666666666666,0.9747487592520858,0.9714406303005187,0.7547645556879541,0.5562931009489309,2.149475942511775,1.2374669259042377,-0.3045422092669803,-0.4554917163539339,0.9699662703289603
-6,16,4,4,0.9584821428571428,0.925,0.9839285714285714,0.028890517298863265,0.886803534767969,0.8531617784909341,0.7222222222222222,0.6666666666666666,0.9544789833636544,0.9442366767719577,0.8025520911738812,0.5579162496865726,3.1864967192690092,1.3608689154454408,-0.337369293114015,-0.5078080018225097,0.9685332458692936
