trade_year,train_start,train_end,trade_start,trade_end,best_mom_lookback,best_entry_pct,best_exit_pct,best_train_composite,best_train_selection_mode,best_train_stability_threshold,best_train_stability_max_gap,best_train_annualized_return,best_train_sharpe_ratio,oos_annualized_return,oos_sharpe_ratio,oos_calmar_ratio,oos_sortino_ratio,oos_ulcer_index,oos_ulcer_performance_index,oos_max_drawdown,oos_trade_count_total,oos_sqn_recent_100,search_eligible_cases,search_total_cases,search_error_cases
2016,2012-01-01,2015-12-31,2016-01-01,2016-12-31,22,0.0,0.0,0.6113087497745934,stable_primary,0.22539773392900628,0.06608374744670376,0.05873514918856815,1.081842443096482,0.0829503068653632,1.0356753345914436,1.654148953710174,1.6182413028816216,2.1790353160682607,3.8067444916420383,-0.05014681820479938,103.0,1.5674109191899153,11,275,0
2017,2013-01-01,2016-12-31,2017-01-01,2017-12-31,19,0.0,-2.0,0.8962314432458703,stable_primary,0.19554397232305365,0.10475752595567067,0.09717713133108585,1.3840793829204316,0.10350659739275159,1.8911737581974952,3.3945895794751304,3.264264566776782,1.3105557091745739,7.897916637053381,-0.03049163822884171,61.0,2.900940871684673,35,275,0
2018,2014-01-01,2017-12-31,2018-01-01,2018-12-31,22,0.0,-2.0,0.8596048560358955,stable_primary,0.1387827528397524,0.1387827528397524,0.1241389993786981,1.704154410607431,-0.12788441181724652,-1.6044856238521392,-0.923288157471333,-2.0693148209596726,7.639007283626144,-1.6740972624985029,-0.13850974994360543,75.0,-1.107190203752284,55,275,0
2019,2015-01-01,2018-12-31,2019-01-01,2019-12-31,19,2.0,-2.0,0.7122890512640261,stable_primary,0.25950856845158954,0.25950856845158954,0.061206503573719706,0.8663149789366925,0.18908491111543158,2.216568020094016,4.233265895712421,3.8778967684003534,1.7728598529689255,10.6655306565141,-0.04466643857805919,64.0,3.809380072888109,38,275,0
2020,2016-01-01,2019-12-31,2020-01-01,2020-12-31,16,2.0,0.0,0.9271846673798354,stable_primary,0.1748817647484362,0.1748817647484362,0.11639795622752169,1.4815395972946335,0.3163494066080976,2.6059965069469992,5.028796457473722,4.709635865570581,2.5848294217147023,12.238695673706795,-0.06290757824129944,152.0,2.7852993757269613,83,275,0
2021,2017-01-01,2020-12-31,2021-01-01,2021-12-31,18,3.0,-2.0,0.8589950540364223,stable_primary,0.16223468450551481,0.16223468450551481,0.15955967123712278,1.7447015363462295,0.11530168932251117,1.2482597875809756,2.36589357604547,2.0050627422980463,1.975068622777081,5.837857378362335,-0.04873494331694961,117.0,3.544653130021467,149,275,0
2022,2018-01-01,2021-12-31,2022-01-01,2022-12-31,19,4.0,0.0,0.7889325689610868,stable_primary,0.10601789515637317,0.022242635409436717,0.1743689553185892,1.7564307099864511,0.04736962283724755,0.48330726910412997,0.5274123626875443,0.8198462884439145,3.910970663300319,1.2111986234454166,-0.08981515449479671,126.0,1.4395653681267815,176,275,0
2023,2019-01-01,2022-12-31,2023-01-01,2023-12-31,21,4.0,-4.0,0.876843353684045,stable_primary,0.1577215054674963,0.12574653852268658,0.16277249547623107,1.641682548120937,0.001553695632499963,0.06008854187056753,0.016931560168815876,0.10004234154982838,4.003342380427739,0.03880996139865403,-0.09176328802596234,104.0,1.8287923031394957,176,275,0
2024,2020-01-01,2023-12-31,2024-01-01,2024-12-31,24,2.0,-2.0,0.8784736458501381,stable_primary,0.1033353165849411,0.07098371556019933,0.1559227647134196,1.4945981322890334,0.2527888886241747,1.525236167705686,3.245964031834081,3.93915180086559,3.30176049490666,7.656184905420312,-0.07787790811758943,174.0,3.1167335572921657,170,275,0
2025,2021-01-01,2024-12-31,2025-01-01,2025-12-31,22,4.0,-4.0,0.8488321734194346,stable_primary,0.1537143336567588,0.07493337729611205,0.11061107391193348,1.0000688808401765,0.1321944327989404,1.2104062577181824,1.31836825528535,1.5626190627273397,4.571182967537218,2.8919085877273862,-0.1002712499098577,101.0,2.7430071000732754,171,275,0
2026,2022-01-01,2025-12-31,2026-01-01,2026-07-21,21,3.0,-2.0,0.8075514001254883,stable_primary,0.08636545190982459,0.06035286888921465,0.1438906722509612,1.2090421998365979,0.08814300133466135,0.8362835642505976,1.4255579438681705,1.6341379258911704,2.4568306174273817,3.587671071396792,-0.06183052868092498,86.0,1.6523517434233865,175,275,0
