trade_year,train_start,train_end,trade_start,trade_end,best_mom_lookback,best_entry_pct,best_exit_pct,best_train_composite,best_train_annualized_return,best_train_sharpe_ratio,oos_annualized_return,oos_sharpe_ratio,oos_calmar_ratio,oos_sortino_ratio,oos_ulcer_index,oos_ulcer_performance_index,oos_max_drawdown,oos_trade_count_total,oos_sqn_recent_100,search_eligible_cases,search_total_cases,search_error_cases
2017,2012-01-01,2016-12-31,2017-01-01,2017-12-31,20,0.0,0.0,0.9643393652884826,0.07876860379056616,1.2709871244921795,0.10363589410994178,1.626428665578053,3.1490031880807856,2.5864429347977027,1.2950683601232194,8.002349320006655,-0.032910698376620084,103.0,3.0475923564050826,18,275,0
2018,2013-01-01,2017-12-31,2018-01-01,2018-12-31,22,0.0,-2.0,0.9243820850183653,0.10916947495635942,1.6120253907794042,-0.12788441181724652,-1.6044856238521392,-0.923288157471333,-2.0693148209596726,7.639007283626144,-1.6740972624985029,-0.13850974994360543,75.0,-1.107190203752284,37,275,0
2019,2014-01-01,2018-12-31,2019-01-01,2019-12-31,17,3.0,-2.0,0.9525024186999311,0.09354806444309949,1.2927734805152802,0.25055576110953814,2.7049948694129213,7.0496541433577,4.982864292674101,1.3886354457662085,18.043307325436214,-0.035541567857710565,66.0,4.100886192457538,62,275,0
2020,2015-01-01,2019-12-31,2020-01-01,2020-12-31,17,3.0,-2.0,0.9600058259508653,0.11165042628410271,1.4386571127992753,0.3128472053031537,2.5392765148888854,4.821328385422945,4.4856703097138695,2.566024318257217,12.191903368851628,-0.06488817609873498,94.0,3.7305536638603654,82,275,0
2021,2016-01-01,2020-12-31,2021-01-01,2021-12-31,16,2.0,0.0,0.8510174450295479,0.14214796136445562,1.6184382420896166,0.12435921385628323,1.331986116532593,2.599054489322383,2.202917649596268,1.7381215411066704,7.154805398539801,-0.04784786712521205,159.0,3.3699633673570357,136,275,0
2022,2017-01-01,2021-12-31,2022-01-01,2022-12-31,20,4.0,-3.0,0.8073081719490331,0.12476143788200211,1.4956590093518358,0.004302130778069069,0.09255734626345272,0.05122851988663922,0.15283650245535368,3.5751783365544547,0.12033331971392532,-0.08397921289916277,106.0,2.0179235479486906,174,275,0
2023,2018-01-01,2022-12-31,2023-01-01,2023-12-31,15,4.0,-2.0,0.8818817310070881,0.14797862161350084,1.471134109557172,0.0336051974854652,0.42459135091632066,0.37765271329351124,0.7071365973961639,4.121528028349618,0.8153577327222912,-0.08898439307477524,129.0,2.141703241146297,176,275,0
2024,2019-01-01,2023-12-31,2024-01-01,2024-12-31,23,3.0,0.0,0.9218904564202426,0.16891259867287456,1.6851621310329115,0.2428213697549022,1.5532753246756004,2.699220507995023,3.6295365766082766,3.298806735769106,7.36088498674322,-0.08995981211452397,184.0,2.4967405709323405,176,275,0
2025,2020-01-01,2024-12-31,2025-01-01,2025-12-31,23,3.0,-3.0,0.921249891361473,0.1669163688243771,1.4355747285717397,0.23182608300935104,2.1993536999018337,3.725481174543842,3.4855995582829014,2.606373902767556,8.89458272902397,-0.062227151916218304,119.0,3.3574415737596848,174,275,0
2026,2021-01-01,2025-12-31,2026-01-01,2026-07-21,23,3.0,-3.0,0.9742567623492531,0.1571008056169252,1.3341612502560931,0.024132911728949047,0.28740741922822144,0.36632316470123494,0.5124175132810634,3.0734141558187114,0.785215089976066,-0.0658787487507958,79.0,1.6389472542562895,176,275,0
